Temps;Canal A;Canal B
(ms);(V);(V)

-250,20051003;0,00000000;∞
-250,03667003;0,00000000;∞
-249,87283003;0,00000000;∞
-249,70899003;0,00000000;∞
-249,54515003;0,04577776;∞
-249,38131003;0,00000000;∞
-249,21747003;0,00000000;∞
-249,05363003;0,04577776;∞
-248,88979003;0,00000000;∞
-248,72595003;0,00000000;∞
-248,56211003;0,00000000;∞
-248,39827004;0,00000000;∞
-248,23443004;0,04577776;∞
-248,07059004;0,00000000;∞
-247,90675004;0,00000000;∞
-247,74291004;0,00000000;∞
-247,57907004;0,00000000;∞
-247,41523004;0,00000000;∞
-247,25139004;0,04577776;∞
-247,08755004;0,00000000;∞
-246,92371004;0,00000000;∞
-246,75987005;0,00000000;∞
-246,59603005;0,04577776;∞
-246,43219005;0,04577776;∞
-246,26835005;0,00000000;∞
-246,10451005;0,00000000;∞
-245,94067005;0,04577776;∞
-245,77683005;0,00000000;∞
-245,61299005;0,00000000;∞
-245,44915005;0,04577776;∞
-245,28531005;0,04577776;∞
-245,12147006;0,00000000;∞
-244,95763006;0,00000000;∞
-244,79379006;0,00000000;∞
-244,62995006;0,00000000;∞
-244,46611006;0,00000000;∞
-244,30227006;0,00000000;∞
-244,13843006;0,04577776;∞
-243,97459006;0,04577776;∞
-243,81075006;0,00000000;∞
-243,64691006;0,00000000;∞
-243,48307007;0,00000000;∞
-243,31923007;0,00000000;∞
-243,15539007;0,00000000;∞
-242,99155007;0,00000000;∞
-242,82771007;0,00000000;∞
-242,66387007;0,00000000;∞
-242,50003007;0,00000000;∞
-242,33619007;0,00000000;∞
-242,17235007;0,04577776;∞
-242,00851007;0,00000000;∞
-241,84467008;0,00000000;∞
-241,68083008;0,00000000;∞
-241,51699008;0,00000000;∞
-241,35315008;0,00000000;∞
-241,18931008;0,00000000;∞
-241,02547008;0,00000000;∞
-240,86163008;0,00000000;∞
-240,69779008;0,00000000;∞
-240,53395008;0,04577776;∞
-240,37011008;0,04577776;∞
-240,20627009;0,04577776;∞
-240,04243009;0,00000000;∞
-239,87859009;0,00000000;∞
-239,71475009;0,00000000;∞
-239,55091009;0,00000000;∞
-239,38707009;0,00000000;∞
-239,22323009;0,00000000;∞
-239,05939009;0,00000000;∞
-238,89555009;0,00000000;∞
-238,73171009;0,00000000;∞
-238,56787010;0,00000000;∞
-238,40403010;0,00000000;∞
-238,24019010;0,00000000;∞
-238,07635010;0,00000000;∞
-237,91251010;0,00000000;∞
-237,74867010;0,00000000;∞
-237,58483010;0,00000000;∞
-237,42099010;0,00000000;∞
-237,25715010;0,04577776;∞
-237,09331010;0,00000000;∞
-236,92947011;0,00000000;∞
-236,76563011;0,04577776;∞
-236,60179011;0,00000000;∞
-236,43795011;0,04577776;∞
-236,27411011;0,00000000;∞
-236,11027011;0,00000000;∞
-235,94643011;0,00000000;∞
-235,78259011;0,00000000;∞
-235,61875011;0,00000000;∞
-235,45491011;0,00000000;∞
-235,29107012;0,00000000;∞
-235,12723012;0,00000000;∞
-234,96339012;0,00000000;∞
-234,79955012;0,00000000;∞
-234,63571012;0,00000000;∞
-234,47187012;0,00000000;∞
-234,30803012;0,00000000;∞
-234,14419012;0,04577776;∞
-233,98035012;0,00000000;∞
-233,81651012;0,00000000;∞
-233,65267013;0,00000000;∞
-233,48883013;0,00000000;∞
-233,32499013;0,00000000;∞
-233,16115013;0,00000000;∞
-232,99731013;0,00000000;∞
-232,83347013;0,00000000;∞
-232,66963013;0,00000000;∞
-232,50579013;0,00000000;∞
-232,34195013;0,04577776;∞
-232,17811013;0,00000000;∞
-232,01427014;0,00000000;∞
-231,85043014;0,00000000;∞
-231,68659014;0,00000000;∞
-231,52275014;0,00000000;∞
-231,35891014;0,00000000;∞
-231,19507014;0,00000000;∞
-231,03123014;0,00000000;∞
-230,86739014;0,00000000;∞
-230,70355014;0,04577776;∞
-230,53971014;0,00000000;∞
-230,37587015;0,00000000;∞
-230,21203015;0,00000000;∞
-230,04819015;0,00000000;∞
-229,88435015;0,00000000;∞
-229,72051015;0,00000000;∞
-229,55667015;0,00000000;∞
-229,39283015;0,00000000;∞
-229,22899015;0,00000000;∞
-229,06515015;0,00000000;∞
-228,90131015;0,00000000;∞
-228,73747016;0,00000000;∞
-228,57363016;0,04577776;∞
-228,40979016;0,00000000;∞
-228,24595016;0,04577776;∞
-228,08211016;0,00000000;∞
-227,91827016;0,00000000;∞
-227,75443016;0,00000000;∞
-227,59059016;0,00000000;∞
-227,42675016;0,00000000;∞
-227,26291016;0,00000000;∞
-227,09907017;0,00000000;∞
