Temps;Canal A
(ms);(V)

-5,00227511;5,02212600
-5,00099511;5,02212600
-4,99971511;5,02212600
-4,99843511;5,02212600
-4,99715511;5,02212600
-4,99587511;5,02212600
-4,99459511;5,02212600
-4,99331511;5,02212600
-4,99203511;5,02212600
-4,99075511;5,02212600
-4,98947511;5,02212600
-4,98819511;5,02212600
-4,98691511;5,02212600
-4,98563511;5,02212600
-4,98435511;5,02212600
-4,98307511;5,02212600
-4,98179511;5,02212600
-4,98051511;5,02212600
-4,97923511;5,02212600
-4,97795511;5,02212600
-4,97667511;5,02212600
-4,97539511;5,02212600
-4,97411511;5,02212600
-4,97283511;5,02212600
-4,97155511;5,02212600
-4,97027511;5,02212600
-4,96899511;4,93087600
-4,96771511;5,02212600
-4,96643511;5,02212600
-4,96515511;5,02212600
-4,96387511;5,02212600
-4,96259511;5,02212600
-4,96131511;5,02212600
-4,96003511;5,02212600
-4,95875511;5,02212600
-4,95747511;5,02212600
-4,95619511;5,02212600
-4,95491511;5,02212600
-4,95363511;5,02212600
-4,95235511;5,02212600
-4,95107511;5,02212600
-4,94979511;5,02212600
-4,94851511;5,02212600
-4,94723511;5,02212600
-4,94595511;5,02212600
-4,94467511;5,02212600
-4,94339511;5,02212600
-4,94211511;5,02212600
-4,94083511;5,02212600
-4,93955511;5,02212600
-4,93827511;5,02212600
-4,93699511;5,02212600
-4,93571511;5,02212600
-4,93443511;5,02212600
-4,93315511;5,02212600
-4,93187511;5,02212600
-4,93059511;5,02212600
-4,92931511;5,02212600
-4,92803511;5,02212600
-4,92675511;5,02212600
-4,92547511;5,02212600
-4,92419511;5,02212600
-4,92291511;5,02212600
-4,92163511;5,02212600
-4,92035511;5,02212600
-4,91907511;5,02212600
-4,91779511;5,02212600
-4,91651511;5,02212600
-4,91523511;5,02212600
-4,91395511;5,02212600
-4,91267511;5,02212600
-4,91139511;5,02212600
-4,91011511;4,93087600
-4,90883511;5,02212600
-4,90755511;5,02212600
-4,90627511;5,02212600
-4,90499511;5,02212600
-4,90371511;5,02212600
-4,90243511;5,02212600
-4,90115511;5,02212600
-4,89987511;5,02212600
-4,89859511;5,02212600
-4,89731511;5,02212600
-4,89603511;5,02212600
-4,89475511;5,02212600
-4,89347511;5,02212600
-4,89219511;5,02212600
-4,89091511;5,02212600
-4,88963511;5,02212600
-4,88835511;5,02212600
-4,88707511;5,02212600
-4,88579511;4,93087600
-4,88451511;5,02212600
-4,88323511;5,02212600
-4,88195511;5,02212600
-4,88067511;5,02212600
-4,87939511;5,02212600
-4,87811511;5,02212600
-4,87683511;5,02212600
-4,87555511;5,02212600
-4,87427511;5,02212600
-4,87299511;5,02212600
-4,87171511;5,02212600
-4,87043511;5,02212600
-4,86915511;5,02212600
-4,86787511;5,02212600
-4,86659511;5,02212600
-4,86531511;5,02212600
-4,86403511;5,02212600
-4,86275511;5,02212600
-4,86147511;5,02212600
-4,86019511;5,02212600
-4,85891511;5,02212600
-4,85763511;5,02212600
-4,85635511;5,02212600
-4,85507511;5,02212600
-4,85379511;5,02212600
-4,85251511;5,02212600
