Temps;A - B
(ms);(V)

-4,39592485;-0,02563548
-4,39336485;0,01907420
-4,39080485;-0,02655101
-4,38824485;0,01831102
-4,38568485;0,01831102
-4,38312485;0,01739550
-4,38056485;0,01739550
-4,37800485;-0,02838230
-4,37544485;0,01647997
-4,37288485;-0,02914524
-4,37032485;0,01571703
-4,36776485;-0,03006077
-4,36520485;-0,03006077
-4,36264485;-0,03082371
-4,36008485;0,01403856
-4,35752485;0,01403856
-4,35496485;-0,03173923
-4,35240485;0,01312304
-4,34984485;-0,03265476
-4,34728485;0,01220751
-4,34472485;-0,03341770
-4,34216485;0,01144433
-4,33960485;0,01144433
-4,33704485;-0,03433347
-4,33448485;0,01052880
-4,33192485;-0,03524899
-4,32936485;0,00961328
-4,32680485;0,05447555
-4,32424485;0,00885034
-4,32168485;0,00885034
-4,31912485;0,00793481
-4,31656485;-0,03769040
-4,31400485;0,00717187
-4,31144485;0,00717187
-4,30888485;0,00717187
-4,30632485;0,00625634
-4,30376485;0,05111861
-4,30120485;0,00534082
-4,29864485;0,00534082
-4,29608485;0,00457764
-4,29352485;0,04943991
-4,29096485;0,00366211
-4,28840485;0,00366211
-4,28584485;0,00366211
-4,28328485;-0,04211545
-4,28072485;0,00274682
-4,27816485;0,00198388
-4,27560485;0,00198388
-4,27304485;0,00091553
-4,27048485;0,00091553
-4,26792485;0,04577780
-4,26536485;0,00015259
-4,26280485;0,00015259
-4,26024485;-0,00076294
-4,25768485;-0,00076294
-4,25512485;-0,00167847
-4,25256485;-0,04730368
-4,25000485;-0,04730368
-4,24744485;-0,00244165
-4,24488485;0,04242063
-4,24232485;-0,00335693
-4,23976485;-0,00335693
-4,23720485;0,04150534
-4,23464485;-0,00427246
-4,23208485;-0,04989767
-4,22952485;-0,00503540
-4,22696485;0,03982663
-4,22440485;-0,00595117
-4,22184485;-0,05157638
-4,21928485;-0,00671411
-4,21672485;-0,00671411
-4,21416485;0,03814816
-4,21160485;-0,00762963
-4,20904485;-0,00762963
-4,20648485;-0,00854540
-4,20392485;0,03631687
-4,20136485;-0,00930810
-4,19880485;-0,00930810
-4,19624485;-0,01022363
-4,19368485;-0,01022363
-4,19112485;0,03463864
-4,18856485;0,03463864
-4,18600485;-0,01113915
-4,18344485;-0,01113915
-4,18088485;-0,01190233
-4,17832485;0,03295994
-4,17576485;0,03204441
-4,17320485;0,03204441
-4,17064485;-0,01358080
-4,16808485;-0,01358080
-4,16552485;0,03128147
-4,16296485;0,03036582
-4,16040485;-0,01541185
-4,15784485;-0,01541185
-4,15528485;-0,01617479
-4,15272485;-0,01617479
-4,15016485;0,02868748
-4,14760485;-0,01709032
-4,14504485;-0,01709032
-4,14248485;0,02761924
-4,13992485;-0,01815856
-4,13736485;0,02670372
-4,13480485;-0,01892149
-4,13224485;0,02594066
-4,12968485;0,02594066
-4,12712485;0,02502525
-4,12456485;0,02502525
-4,12200485;-0,02059996
-4,11944485;-0,02059996
-4,11688485;0,02426219
-4,11432485;0,02334666
-4,11176485;-0,02243102
-4,10920485;0,02243114
-4,10664485;-0,02319407
-4,10408485;-0,02319407
-4,10152485;0,02166820
-4,09896485;-0,02410960
-4,09640485;-0,02410960
-4,09384485;0,02075255
-4,09128485;0,06561482
-4,08872485;0,01983702
-4,08616485;0,01983702
-4,08360485;0,01907408
-4,08104485;0,01815856
-4,07848485;0,01815856
-4,07592485;0,01815856
-4,07336485;-0,02746665
-4,07080485;0,01739550
-4,06824485;0,01739550
-4,06568485;0,01648009
-4,06312485;0,06134224
-4,06056485;0,01556444
-4,05800485;-0,03006077
-4,05544485;0,01480138
-4,05288485;-0,03097630
-4,05032485;-0,03097630
-4,04776485;0,01388597
-4,04520485;-0,03189182
-4,04264485;0,01297033
-4,04008485;0,01297033
-4,03752485;0,05783260
-4,03496485;-0,03357041
-4,03240485;0,01129180
-4,02984485;0,01129180
-4,02728485;-0,03433329
-4,02472485;0,01052892
-4,02216485;0,01052892
-4,01960485;0,00946075
-4,01704485;-0,03631699
-4,01448485;0,05432296
-4,01192485;0,00854522
-4,00936485;-0,03707999
-4,00680485;0,00778222
-4,00424485;0,00778222
-4,00168485;-0,03707999
-3,99912485;0,00854522
-3,99656485;0,00854522
-3,99400485;0,00946075
-3,99144485;0,00946075
-3,98888485;0,01052892
-3,98632485;0,01052892
-3,98376485;-0,03433329
-3,98120485;-0,03433329
-3,97864485;0,01129180
-3,97608485;0,01220739
-3,97352485;0,05783260
-3,97096485;0,01297033
-3,96840485;-0,03189182
-3,96584485;0,01388597
-3,96328485;-0,03097630
-3,96072485;0,01480138
-3,95816485;0,01480138
-3,95560485;-0,03006077
-3,95304485;0,01556444
-3,95048485;-0,02929771
-3,94792485;0,01648009
-3,94536485;0,06225777
-3,94280485;0,01739550
-3,94024485;-0,02746665
-3,93768485;-0,02746665
-3,93512485;0,01815856
-3,93256485;0,01815856
-3,93000485;0,01907408
-3,92744485;-0,02578807
-3,92488485;-0,02578807
-3,92232485;0,01983702
-3,91976485;-0,02502525
-3,91720485;0,02075255
-3,91464485;0,02075255
-3,91208485;0,02166820
-3,90952485;0,02166820
-3,90696485;0,02166820
-3,90440485;-0,02319407
-3,90184485;-0,02243102
-3,89928485;0,02334666
-3,89672485;-0,02151561
-3,89416485;0,02426219
-3,89160485;-0,02059996
-3,88904485;-0,02059996
-3,88648485;0,02502525
-3,88392485;-0,01983702
-3,88136485;-0,01983702
-3,87880485;0,02594066
-3,87624485;-0,01892149
-3,87368485;-0,01815856
-3,87112485;0,02761924
-3,86856485;0,02761924
-3,86600485;0,02761924
-3,86344485;0,02868748
-3,86088485;0,02868748
-3,85832485;-0,01617479
-3,85576485;0,02945030
-3,85320485;-0,01541185
-3,85064485;-0,01541185
-3,84808485;0,03128147
-3,84552485;0,03128147
-3,84296485;-0,01358080
-3,84040485;0,03204441
-3,83784485;-0,01281786
-3,83528485;-0,01281786
-3,83272485;0,03295994
-3,83016485;-0,01190233
-3,82760485;-0,01113915
-3,82504485;-0,01113915
-3,82248485;0,03463864
-3,81992485;-0,01022363
-3,81736485;0,03555417
-3,81480485;-0,01022363
-3,81224485;-0,00930810
-3,80968485;-0,00930810
-3,80712485;-0,00854540
-3,80456485;0,03723240
-3,80200485;-0,00762963
-3,79944485;0,03814816
-3,79688485;-0,00671411
-3,79432485;-0,00671411
-3,79176485;0,03891110
-3,78920485;-0,00595117
-3,78664485;-0,05081320
-3,78408485;-0,00503540
-3,78152485;-0,04989767
-3,77896485;-0,00427246
-3,77640485;-0,00427246
-3,77384485;-0,00335693
-3,77128485;-0,00335693
-3,76872485;-0,00335693
-3,76616485;-0,00244165
-3,76360485;-0,00244165
-3,76104485;-0,00167847
-3,75848485;-0,00167847
-3,75592485;-0,00076294
-3,75336485;-0,00076294
-3,75080485;0,00015259
-3,74824485;0,00015259
-3,74568485;0,00015259
-3,74312485;0,00091553
-3,74056485;0,00091553
-3,73800485;0,04669333
-3,73544485;0,00198388
-3,73288485;0,00274682
-3,73032485;0,00274682
-3,72776485;0,00366211
-3,72520485;0,00366211
-3,72264485;0,04943991
-3,72008485;0,00457764
-3,71752485;0,00457764
-3,71496485;-0,04028440
-3,71240485;0,00534082
-3,70984485;-0,03952146
-3,70728485;0,00625634
-3,70472485;0,00717187
-3,70216485;0,05203414
-3,69960485;0,00717187
-3,69704485;0,00717187
-3,69448485;0,00793481
-3,69192485;0,00793481
-3,68936485;0,00885034
-3,68680485;-0,03601193
-3,68424485;0,00961328
-3,68168485;0,00961328
-3,67912485;0,01052880
-3,67656485;0,01052880
-3,67400485;-0,03433347
-3,67144485;0,01144433
-3,66888485;-0,03341770
-3,66632485;0,01220751
-3,66376485;-0,03265476
-3,66120485;0,01312304
-3,65864485;-0,03173923
-3,65608485;0,01403856
-3,65352485;0,01403856
-3,65096485;0,01480126
-3,64840485;0,01480126
-3,64584485;-0,03006077
-3,64328485;-0,02914524
-3,64072485;0,01571703
-3,63816485;0,01647997
-3,63560485;0,01739550
-3,63304485;0,01739550
-3,63048485;0,01739550
-3,62792485;0,01831102
-3,62536485;0,01831102
-3,62280485;0,01831102
-3,62024485;-0,02655101
-3,61768485;0,01907420
-3,61512485;0,02014232
-3,61256485;-0,02471995
-3,61000485;0,02105761
-3,60744485;0,02105761
-3,60488485;-0,02380443
-3,60232485;-0,02304149
-3,59976485;-0,02304149
-3,59720485;-0,02304149
-3,59464485;-0,02212596
-3,59208485;0,02349901
-3,58952485;0,02349901
-3,58696485;0,02441454
-3,58440485;0,02441454
-3,58184485;-0,02044773
-3,57928485;0,02533007
-3,57672485;-0,01953220
-3,57416485;-0,01953220
-3,57160485;0,02609301
-3,56904485;-0,01876879
-3,56648485;-0,01785326
-3,56392485;0,02792454
-3,56136485;0,02792454
-3,55880485;-0,01693773
-3,55624485;-0,01693773
-3,55368485;0,02868748
-3,55112485;0,02960300
-3,54856485;-0,01525927
-3,54600485;-0,01525927
-3,54344485;-0,01449633
-3,54088485;-0,01449633
-3,53832485;-0,01358080
-3,53576485;-0,01358080
-3,53320485;0,03219700
-3,53064485;-0,01266527
-3,52808485;-0,05752707
-3,52552485;-0,01190186
-3,52296485;0,03387594
-3,52040485;0,03387594
-3,51784485;-0,01098633
-3,51528485;0,03479147
-3,51272485;-0,01007080
-3,51016485;0,03555393
-3,50760485;-0,00930834
-3,50504485;-0,00930834
-3,50248485;-0,00839281
-3,49992485;0,03723240
-3,49736485;-0,00747728
-3,49480485;0,03830051
-3,49224485;0,03830051
-3,48968485;-0,00656176
-3,48712485;-0,05142403
-3,48456485;0,03921604
-3,48200485;-0,00656176
-3,47944485;0,03830051
-3,47688485;-0,00747728
-3,47432485;0,03723240
-3,47176485;-0,00839281
-3,46920485;-0,00930834
-3,46664485;-0,00930834
-3,46408485;0,03555393
-3,46152485;0,03555393
-3,45896485;-0,01007080
-3,45640485;0,03479147
-3,45384485;-0,01098633
-3,45128485;-0,01098633
-3,44872485;-0,01190186
-3,44616485;0,03295994
-3,44360485;-0,01266527
-3,44104485;-0,01266527
-3,43848485;0,03219700
