Temps;A - B
(ms);(V)

-5,00043502;0,01480138
-4,99787502;0,01480138
-4,99531502;-0,03006077
-4,99275502;0,01556444
-4,99019502;-0,02929771
-4,98763502;-0,02929771
-4,98507502;0,01648009
-4,98251502;0,01739550
-4,97995502;-0,02746665
-4,97739502;-0,02746665
-4,97483502;0,01815856
-4,97227502;0,01907408
-4,96971502;0,01907408
-4,96715502;0,01907408
-4,96459502;0,01983702
-4,96203502;0,01983702
-4,95947502;0,02075255
-4,95691502;0,02075255
-4,95435502;-0,02410960
-4,95179502;-0,02410960
-4,94923502;-0,02319407
-4,94667502;-0,02319407
-4,94411502;0,02243114
-4,94155502;-0,02243102
-4,93899502;0,02334666
-4,93643502;0,02334666
-4,93387502;0,02426219
-4,93131502;0,02426219
-4,92875502;-0,02059996
-4,92619502;0,02502525
-4,92363502;0,02594066
-4,92107502;-0,01892149
-4,91851502;0,02670372
-4,91595502;0,02670372
-4,91339502;-0,01815856
-4,91083502;0,02761924
-4,90827502;0,02761924
-4,90571502;-0,01709032
-4,90315502;0,02868748
-4,90059502;-0,01617479
-4,89803502;-0,01617479
-4,89547502;-0,01541185
-4,89291502;-0,01541185
-4,89035502;-0,01449633
-4,88779502;-0,01449633
-4,88523502;-0,01358080
-4,88267502;-0,01358080
-4,88011502;0,03204441
-4,87755502;-0,01281786
-4,87499502;0,03295994
-4,87243502;-0,01190233
-4,86987502;-0,01190233
-4,86731502;-0,01113915
-4,86475502;-0,01113915
-4,86219502;-0,01022363
-4,85963502;-0,01022363
-4,85707502;-0,01022363
-4,85451502;0,03555417
-4,85195502;-0,00930810
-4,84939502;-0,00930810
-4,84683502;-0,00854540
-4,84427502;-0,00854540
-4,84171502;0,03814816
-4,83915502;-0,00671411
-4,83659502;0,03814816
-4,83403502;-0,00671411
-4,83147502;0,03891110
-4,82891502;-0,00595117
-4,82635502;-0,00503540
-4,82379502;-0,00503540
-4,82123502;-0,04989767
-4,81867502;-0,00427246
-4,81611502;-0,00335693
-4,81355502;-0,00335693
-4,81099502;-0,00335693
-4,80843502;-0,04821920
-4,80587502;-0,00244165
-4,80331502;-0,00244165
-4,80075502;-0,00167847
-4,79819502;0,04409933
-4,79563502;-0,00076294
-4,79307502;-0,00076294
-4,79051502;0,00015259
-4,78795502;0,00015259
-4,78539502;0,00015259
-4,78283502;0,00091553
-4,78027502;0,04669333
-4,77771502;0,00198388
-4,77515502;0,04760909
-4,77259502;0,00274682
-4,77003502;0,04852438
-4,76747502;0,00366211
-4,76491502;0,00366211
-4,76235502;0,04943991
-4,75979502;0,00457764
-4,75723502;0,00457764
-4,75467502;0,00534082
-4,75211502;0,00534082
-4,74955502;-0,03952146
-4,74699502;0,00625634
-4,74443502;0,00717187
-4,74187502;0,00717187
-4,73931502;0,00717187
-4,73675502;0,00793481
-4,73419502;0,00793481
-4,73163502;0,00885034
-4,72907502;0,00885034
-4,72651502;0,05447555
-4,72395502;0,05539107
-4,72139502;0,05539107
-4,71883502;0,01052880
-4,71627502;0,01052880
-4,71371502;-0,03433347
-4,71115502;0,01144433
