Temps;A - B
(ms);(V)

-5,00045877;-0,03097630
-4,99789877;0,01480138
-4,99533877;-0,03006077
-4,99277877;-0,03006077
-4,99021877;-0,02929771
-4,98765877;0,01648009
-4,98509877;0,01648009
-4,98253877;0,01739550
-4,97997877;-0,02746665
-4,97741877;-0,02746665
-4,97485877;0,01815856
-4,97229877;-0,02670372
-4,96973877;0,01907408
-4,96717877;-0,02578807
-4,96461877;0,01983702
-4,96205877;-0,02502525
-4,95949877;0,02075255
-4,95693877;-0,02410960
-4,95437877;-0,02410960
-4,95181877;0,02166820
-4,94925877;0,02166820
-4,94669877;-0,02319407
-4,94413877;0,02243114
-4,94157877;0,02334666
-4,93901877;0,02334666
-4,93645877;-0,02151561
-4,93389877;0,02426219
-4,93133877;-0,02059996
-4,92877877;-0,02059996
-4,92621877;0,02502525
-4,92365877;-0,01983702
-4,92109877;0,02594066
-4,91853877;-0,01892149
-4,91597877;-0,01892149
-4,91341877;-0,01815856
-4,91085877;0,02761924
-4,90829877;0,02761924
-4,90573877;-0,01709032
-4,90317877;0,02868748
-4,90061877;-0,01617479
-4,89805877;-0,01617479
-4,89549877;-0,01541185
-4,89293877;-0,01541185
-4,89037877;0,03036582
-4,88781877;0,03128147
-4,88525877;-0,01358080
-4,88269877;-0,01358080
-4,88013877;0,03204441
-4,87757877;-0,01281786
-4,87501877;0,03295994
-4,87245877;0,03295994
-4,86989877;-0,01190233
-4,86733877;-0,01113915
-4,86477877;-0,01113915
-4,86221877;0,03463864
-4,85965877;-0,01022363
-4,85709877;-0,01022363
-4,85453877;-0,00930810
-4,85197877;-0,00930810
-4,84941877;-0,05417037
-4,84685877;-0,00854540
-4,84429877;-0,00854540
-4,84173877;-0,00762963
-4,83917877;0,03814816
-4,83661877;-0,00671411
-4,83405877;-0,00671411
-4,83149877;-0,00671411
-4,82893877;-0,00595117
-4,82637877;0,03982663
-4,82381877;-0,05081320
-4,82125877;-0,04989767
-4,81869877;-0,00427246
-4,81613877;-0,04913473
-4,81357877;-0,00335693
-4,81101877;-0,00335693
-4,80845877;-0,00244165
-4,80589877;-0,00244165
-4,80333877;-0,04730368
-4,80077877;-0,04730368
-4,79821877;-0,00167847
-4,79565877;-0,00076294
-4,79309877;-0,00076294
-4,79053877;0,00015259
-4,78797877;0,00015259
-4,78541877;0,00015259
-4,78285877;0,00091553
-4,78029877;0,04669333
-4,77773877;0,00198388
-4,77517877;0,00198388
-4,77261877;0,00274682
-4,77005877;0,04852438
-4,76749877;0,04852438
-4,76493877;0,00366211
-4,76237877;0,00366211
-4,75981877;0,00457764
-4,75725877;0,00457764
-4,75469877;0,00534082
-4,75213877;0,00534082
-4,74957877;0,05111861
-4,74701877;0,05203414
-4,74445877;0,00717187
-4,74189877;0,00717187
-4,73933877;0,00717187
-4,73677877;0,00793481
-4,73421877;0,00793481
-4,73165877;-0,03692722
-4,72909877;0,00885034
-4,72653877;-0,03601193
-4,72397877;0,00961328
-4,72141877;0,01052880
-4,71885877;0,01052880
-4,71629877;-0,03433347
-4,71373877;0,01144433
-4,71117877;0,01144433
