Temps;A - B
(ms);(V)

-5,00101477;-0,03097630
-4,99845477;-0,03006077
-4,99589477;0,01480138
-4,99333477;-0,07492292
-4,99077477;-0,02929771
-4,98821477;0,01648009
-4,98565477;-0,02838218
-4,98309477;0,01739550
-4,98053477;-0,02746665
-4,97797477;-0,02746665
-4,97541477;0,01815856
-4,97285477;0,01815856
-4,97029477;0,01907408
-4,96773477;0,01907408
-4,96517477;0,01983702
-4,96261477;-0,02502525
-4,96005477;0,02075255
-4,95749477;-0,02410960
-4,95493477;-0,02410960
-4,95237477;0,02166820
-4,94981477;-0,02319407
-4,94725477;-0,02319407
-4,94469477;0,02243114
-4,94213477;-0,02243102
-4,93957477;0,02334666
-4,93701477;-0,02151561
-4,93445477;0,02426219
-4,93189477;0,02426219
-4,92933477;-0,02059996
-4,92677477;0,02502525
-4,92421477;-0,01983702
-4,92165477;0,02594066
-4,91909477;0,07156587
-4,91653477;0,02670372
-4,91397477;-0,01815856
-4,91141477;0,02761924
-4,90885477;-0,01709032
-4,90629477;0,02868748
-4,90373477;0,02868748
-4,90117477;-0,01617479
-4,89861477;-0,01617479
-4,89605477;-0,01541185
-4,89349477;-0,01541185
-4,89093477;0,03036582
-4,88837477;-0,01449633
-4,88581477;-0,01358080
-4,88325477;-0,01358080
-4,88069477;0,03204441
-4,87813477;-0,01281786
-4,87557477;0,03295994
-4,87301477;0,03295994
-4,87045477;-0,01190233
-4,86789477;-0,01113915
-4,86533477;0,03463864
-4,86277477;-0,01022363
-4,86021477;-0,01022363
-4,85765477;0,03555417
-4,85509477;0,03555417
-4,85253477;-0,00930810
-4,84997477;-0,00930810
-4,84741477;0,03723240
-4,84485477;0,03723240
-4,84229477;0,03814816
-4,83973477;0,03814816
-4,83717477;-0,00671411
-4,83461477;-0,00671411
-4,83205477;-0,00595117
-4,82949477;-0,00595117
-4,82693477;-0,00503540
-4,82437477;-0,00503540
-4,82181477;-0,00503540
-4,81925477;-0,00427246
-4,81669477;-0,00335693
-4,81413477;-0,00335693
-4,81157477;-0,00335693
-4,80901477;-0,00244165
-4,80645477;-0,00244165
-4,80389477;-0,04730368
-4,80133477;-0,00167847
-4,79877477;-0,00167847
-4,79621477;-0,00076294
-4,79365477;0,04501486
-4,79109477;0,00015259
-4,78853477;0,00015259
-4,78597477;0,00091553
-4,78341477;0,00091553
-4,78085477;0,00198388
-4,77829477;0,00198388
-4,77573477;0,00274682
-4,77317477;0,00274682
-4,77061477;0,04852438
-4,76805477;0,00366211
-4,76549477;0,00366211
-4,76293477;0,00457764
-4,76037477;0,00457764
-4,75781477;-0,04028440
-4,75525477;-0,04028440
-4,75269477;0,00534082
-4,75013477;0,00625634
-4,74757477;0,00625634
-4,74501477;0,00717187
-4,74245477;0,00717187
-4,73989477;-0,03769040
-4,73733477;0,00793481
-4,73477477;0,00793481
-4,73221477;0,00885034
-4,72965477;0,00885034
-4,72709477;-0,03601193
-4,72453477;0,00961328
-4,72197477;0,00961328
-4,71941477;0,01052880
-4,71685477;0,01052880
-4,71429477;0,01144433
-4,71173477;-0,03341770
