Temps;A - B
(ms);(V)

-5,00201315;-0,03097630
-4,99945315;0,01480138
-4,99689315;0,01480138
-4,99433315;-0,03006077
-4,99177315;0,01556444
-4,98921315;0,01648009
-4,98665315;0,01648009
-4,98409315;0,01739550
-4,98153315;-0,02746665
-4,97897315;-0,02746665
-4,97641315;-0,02746665
-4,97385315;0,01815856
-4,97129315;0,01907408
-4,96873315;0,01907408
-4,96617315;-0,02578807
-4,96361315;0,01983702
-4,96105315;0,02075255
-4,95849315;0,02075255
-4,95593315;-0,02410960
-4,95337315;0,02166820
-4,95081315;0,02166820
-4,94825315;-0,02319407
-4,94569315;0,02243114
-4,94313315;-0,02243102
-4,94057315;0,02334666
-4,93801315;0,02334666
-4,93545315;0,02426219
-4,93289315;-0,02059996
-4,93033315;-0,02059996
-4,92777315;0,02502525
-4,92521315;-0,01983702
-4,92265315;0,02594066
-4,92009315;0,02670372
-4,91753315;-0,01892149
-4,91497315;-0,01815856
-4,91241315;0,02761924
-4,90985315;-0,01709032
-4,90729315;0,02761924
-4,90473315;0,02868748
-4,90217315;0,02868748
-4,89961315;-0,01617479
-4,89705315;-0,01541185
-4,89449315;-0,01541185
-4,89193315;-0,01449633
-4,88937315;-0,01449633
-4,88681315;0,03128147
-4,88425315;-0,01358080
-4,88169315;0,03204441
-4,87913315;-0,01281786
-4,87657315;-0,01281786
-4,87401315;-0,01190233
-4,87145315;-0,01190233
-4,86889315;0,03372288
-4,86633315;-0,01113915
-4,86377315;0,03463864
-4,86121315;-0,01022363
-4,85865315;-0,01022363
-4,85609315;0,03555417
-4,85353315;-0,00930810
-4,85097315;-0,00930810
-4,84841315;-0,00854540
-4,84585315;-0,05340743
-4,84329315;-0,00762963
-4,84073315;0,03814816
-4,83817315;-0,00671411
-4,83561315;-0,00671411
-4,83305315;-0,05157638
-4,83049315;-0,00595117
-4,82793315;-0,00595117
-4,82537315;-0,00503540
-4,82281315;-0,04989767
-4,82025315;-0,00427246
-4,81769315;-0,00427246
-4,81513315;-0,00335693
-4,81257315;-0,00335693
-4,81001315;0,04242063
-4,80745315;-0,00244165
-4,80489315;-0,04730368
-4,80233315;-0,04730368
-4,79977315;-0,00167847
-4,79721315;-0,00076294
-4,79465315;-0,00076294
-4,79209315;0,00015259
-4,78953315;0,00015259
-4,78697315;0,00015259
-4,78441315;0,00091553
-4,78185315;0,00091553
-4,77929315;0,00198388
-4,77673315;0,00198388
-4,77417315;0,00198388
-4,77161315;0,00274682
-4,76905315;0,00366211
-4,76649315;0,00366211
-4,76393315;0,00366211
-4,76137315;0,04943991
-4,75881315;0,00457764
-4,75625315;-0,04028440
-4,75369315;0,00534082
-4,75113315;0,00625634
-4,74857315;0,00625634
-4,74601315;0,05203414
-4,74345315;0,00717187
-4,74089315;0,00717187
-4,73833315;0,05279708
-4,73577315;0,00793481
-4,73321315;0,00885034
-4,73065315;0,00885034
-4,72809315;0,00885034
-4,72553315;0,00961328
-4,72297315;0,05539107
-4,72041315;0,01052880
-4,71785315;0,01052880
-4,71529315;-0,03433347
-4,71273315;0,01144433
