Temps;A - B
(ms);(V)

-5,00050580;0,01480138
-4,99794580;0,01480138
-4,99538580;-0,03006077
-4,99282580;-0,02929771
-4,99026580;-0,02929771
-4,98770580;-0,02838218
-4,98514580;0,01739550
-4,98258580;0,01739550
-4,98002580;-0,02746665
-4,97746580;0,01815856
-4,97490580;0,01815856
-4,97234580;0,01907408
-4,96978580;-0,02578807
-4,96722580;0,01983702
-4,96466580;-0,02502525
-4,96210580;0,02075255
-4,95954580;0,02075255
-4,95698580;-0,02410960
-4,95442580;-0,02410960
-4,95186580;0,02166820
-4,94930580;-0,02319407
-4,94674580;0,02243114
-4,94418580;-0,02243102
-4,94162580;0,02334666
-4,93906580;-0,02151561
-4,93650580;0,02426219
-4,93394580;0,02426219
-4,93138580;0,02502525
-4,92882580;0,02502525
-4,92626580;-0,01983702
-4,92370580;0,02594066
-4,92114580;-0,01892149
-4,91858580;0,02670372
-4,91602580;0,02670372
-4,91346580;0,02761924
-4,91090580;0,02761924
-4,90834580;-0,01709032
-4,90578580;0,02868748
-4,90322580;-0,01617479
-4,90066580;-0,01617479
-4,89810580;0,02945030
-4,89554580;-0,01541185
-4,89298580;-0,01449633
-4,89042580;-0,01449633
-4,88786580;0,03128147
-4,88530580;-0,01358080
-4,88274580;0,03204441
-4,88018580;-0,01281786
-4,87762580;-0,01281786
-4,87506580;-0,01190233
-4,87250580;-0,01190233
-4,86994580;-0,01113915
-4,86738580;-0,01113915
-4,86482580;-0,01022363
-4,86226580;-0,01022363
-4,85970580;-0,01022363
-4,85714580;-0,00930810
-4,85458580;-0,00930810
-4,85202580;-0,05417037
-4,84946580;-0,00854540
-4,84690580;0,03723240
-4,84434580;-0,00762963
-4,84178580;0,03814816
-4,83922580;0,03814816
-4,83666580;-0,00671411
-4,83410580;-0,00671411
-4,83154580;-0,00595117
-4,82898580;-0,00595117
-4,82642580;-0,00503540
-4,82386580;-0,00427246
-4,82130580;-0,00427246
-4,81874580;0,04150534
-4,81618580;-0,00335693
-4,81362580;-0,00335693
-4,81106580;0,04242063
-4,80850580;-0,00244165
-4,80594580;-0,00244165
-4,80338580;-0,00167847
-4,80082580;-0,00167847
-4,79826580;-0,00076294
-4,79570580;-0,00076294
-4,79314580;0,00015259
-4,79058580;0,00015259
-4,78802580;0,04577780
-4,78546580;0,00091553
-4,78290580;0,04669333
-4,78034580;0,00198388
-4,77778580;0,00198388
-4,77522580;0,00274682
-4,77266580;0,00274682
-4,77010580;0,00366211
-4,76754580;0,00366211
-4,76498580;0,00366211
-4,76242580;0,00457764
-4,75986580;0,00457764
-4,75730580;0,00457764
-4,75474580;0,00534082
-4,75218580;0,05111861
-4,74962580;0,00625634
-4,74706580;0,05203414
-4,74450580;0,05203414
-4,74194580;0,00717187
-4,73938580;0,05279708
-4,73682580;0,00793481
-4,73426580;0,05371237
-4,73170580;-0,03692722
-4,72914580;-0,03601193
-4,72658580;0,00961328
-4,72402580;0,05539107
-4,72146580;0,01052880
-4,71890580;0,01052880
-4,71634580;0,01144433
-4,71378580;-0,03341770
-4,71122580;-0,03341770
