Temps;A - B
(ms);(V)

-5,00161594;0,01480138
-4,99905594;0,01480138
-4,99649594;-0,03006077
-4,99393594;-0,03006077
-4,99137594;-0,02929771
-4,98881594;0,01648009
-4,98625594;0,01648009
-4,98369594;-0,02746665
-4,98113594;-0,02746665
-4,97857594;-0,02746665
-4,97601594;0,01815856
-4,97345594;0,01907408
-4,97089594;0,01907408
-4,96833594;0,01907408
-4,96577594;0,01983702
-4,96321594;-0,02502525
-4,96065594;0,02075255
-4,95809594;0,02075255
-4,95553594;-0,02410960
-4,95297594;0,02166820
-4,95041594;0,02166820
-4,94785594;0,02243114
-4,94529594;-0,02243102
-4,94273594;0,02334666
-4,94017594;-0,02151561
-4,93761594;0,02426219
-4,93505594;0,02426219
-4,93249594;0,02426219
-4,92993594;0,02502525
-4,92737594;0,02502525
-4,92481594;0,02594066
-4,92225594;0,02594066
-4,91969594;-0,01892149
-4,91713594;-0,01892149
-4,91457594;0,02761924
-4,91201594;0,02761924
-4,90945594;-0,01709032
-4,90689594;-0,01709032
-4,90433594;0,02868748
-4,90177594;-0,01617479
-4,89921594;-0,01541185
-4,89665594;-0,01541185
-4,89409594;0,03036582
-4,89153594;-0,01449633
-4,88897594;0,03128147
-4,88641594;-0,01358080
-4,88385594;-0,01358080
-4,88129594;-0,01281786
-4,87873594;-0,01281786
-4,87617594;0,03295994
-4,87361594;-0,01190233
-4,87105594;-0,01190233
-4,86849594;-0,01113915
-4,86593594;-0,01113915
-4,86337594;-0,01022363
-4,86081594;-0,01022363
-4,85825594;-0,01022363
-4,85569594;-0,00930810
-4,85313594;-0,00930810
-4,85057594;-0,05417037
-4,84801594;-0,00854540
-4,84545594;-0,00762963
-4,84289594;-0,00762963
-4,84033594;-0,00671411
-4,83777594;-0,00671411
-4,83521594;-0,00671411
-4,83265594;0,03891110
-4,83009594;-0,00595117
-4,82753594;-0,00503540
-4,82497594;-0,00503540
-4,82241594;-0,00427246
-4,81985594;-0,00427246
-4,81729594;-0,04913473
-4,81473594;-0,00335693
-4,81217594;0,04242063
-4,80961594;0,04242063
-4,80705594;-0,04730368
-4,80449594;0,04318357
-4,80193594;-0,00167847
-4,79937594;-0,00076294
-4,79681594;-0,00076294
-4,79425594;0,00015259
-4,79169594;0,00015259
-4,78913594;0,00015259
-4,78657594;0,04577780
-4,78401594;0,00091553
-4,78145594;-0,04379392
-4,77889594;0,00198388
-4,77633594;-0,04287839
-4,77377594;0,00274682
-4,77121594;0,04852438
-4,76865594;0,00366211
-4,76609594;0,00366211
-4,76353594;0,04943991
-4,76097594;0,00457764
-4,75841594;0,00457764
-4,75585594;0,00534082
-4,75329594;0,00534082
-4,75073594;0,00625634
-4,74817594;0,00625634
-4,74561594;0,00717187
-4,74305594;0,00717187
-4,74049594;-0,03769040
-4,73793594;0,00793481
-4,73537594;0,00793481
-4,73281594;0,00885034
-4,73025594;0,00885034
-4,72769594;0,00961328
-4,72513594;0,00961328
-4,72257594;0,01052880
-4,72001594;0,01052880
-4,71745594;0,01052880
-4,71489594;0,01144433
-4,71233594;0,01144433
