Temps;Canal A
(ms);(V)

-5,00323903;1,45939500
-5,00195903;1,45939500
-5,00067903;1,45939500
-4,99939903;1,45939500
-4,99811903;1,45939500
-4,99683903;1,45939500
-4,99555903;1,45939500
-4,99427903;1,36814500
-4,99299903;1,45939500
-4,99171903;1,45939500
-4,99043903;1,36814500
-4,98915903;1,36814500
-4,98787903;1,45939500
-4,98659903;1,45939500
-4,98531903;1,45939500
-4,98403903;1,45939500
-4,98275903;1,36814500
-4,98147903;1,45939500
-4,98019903;1,45939500
-4,97891903;1,45939500
-4,97763903;1,45939500
-4,97635903;1,45939500
-4,97507903;1,45939500
-4,97379903;1,45939500
-4,97251903;1,36814500
-4,97123903;1,45939500
-4,96995903;1,45939500
-4,96867903;1,45939500
-4,96739903;1,45939500
-4,96611903;1,45939500
-4,96483903;1,45939500
-4,96355903;1,45939500
-4,96227903;1,36814500
-4,96099903;1,45939500
-4,95971903;1,36814500
-4,95843903;1,45939500
-4,95715903;1,45939500
-4,95587903;1,45939500
-4,95459903;1,45939500
-4,95331903;1,45939500
-4,95203903;1,36814500
-4,95075903;1,45939500
-4,94947903;1,45939500
-4,94819903;1,36814500
-4,94691903;1,45939500
-4,94563903;1,45939500
-4,94435903;1,45939500
-4,94307903;1,45939500
-4,94179903;1,45939500
-4,94051903;1,45939500
-4,93923903;1,45939500
-4,93795903;1,36814500
-4,93667903;1,45939500
-4,93539903;1,45939500
-4,93411903;1,45939500
-4,93283903;1,45939500
-4,93155903;1,45939500
-4,93027903;1,45939500
-4,92899903;1,36814500
-4,92771903;1,36814500
-4,92643903;1,45939500
-4,92515903;1,45939500
-4,92387903;1,45939500
-4,92259903;1,45939500
-4,92131903;1,36814500
-4,92003903;1,45939500
-4,91875903;1,45939500
-4,91747903;1,45939500
-4,91619903;1,45939500
-4,91491903;1,36814500
-4,91363903;1,45939500
-4,91235903;1,36814500
-4,91107903;1,36814500
-4,90979903;1,45939500
-4,90851903;1,45939500
-4,90723903;1,45939500
-4,90595903;1,45939500
-4,90467903;1,45939500
-4,90339903;1,45939500
-4,90211903;1,45939500
-4,90083903;1,45939500
-4,89955903;1,36814500
-4,89827903;1,36814500
-4,89699903;1,36814500
-4,89571903;1,45939500
-4,89443903;1,45939500
-4,89315903;1,45939500
-4,89187903;1,36814500
-4,89059903;1,45939500
-4,88931903;1,45939500
-4,88803903;1,36814500
-4,88675903;1,36814500
-4,88547903;1,45939500
-4,88419903;1,45939500
-4,88291903;1,45939500
-4,88163903;1,45939500
-4,88035903;1,45939500
-4,87907903;1,45939500
-4,87779903;1,45939500
-4,87651903;1,45939500
-4,87523903;1,45939500
-4,87395903;1,36814500
-4,87267903;1,45939500
-4,87139903;1,45939500
-4,87011903;1,45939500
-4,86883903;1,36814500
-4,86755903;1,36814500
-4,86627903;1,36814500
-4,86499903;1,36814500
-4,86371903;1,45939500
-4,86243903;1,45939500
-4,86115903;1,45939500
-4,85987903;1,45939500
-4,85859903;1,45939500
-4,85731903;1,36814500
-4,85603903;1,36814500
-4,85475903;1,36814500
-4,85347903;1,45939500
