Temps;Canal A
(ms);(V)

-5,00324508;1,36814500
-5,00196508;1,36814500
-5,00068508;1,36814500
-4,99940508;1,36814500
-4,99812508;1,36814500
-4,99684508;1,36814500
-4,99556508;1,45939500
-4,99428508;1,36814500
-4,99300508;1,36814500
-4,99172508;1,36814500
-4,99044508;1,45939500
-4,98916508;1,45939500
-4,98788508;1,36814500
-4,98660508;1,36814500
-4,98532508;1,36814500
-4,98404508;1,45939500
-4,98276508;1,45939500
-4,98148508;1,36814500
-4,98020508;1,45939500
-4,97892508;1,36814500
-4,97764508;1,36814500
-4,97636508;1,36814500
-4,97508508;1,36814500
-4,97380508;1,36814500
-4,97252508;1,36814500
-4,97124508;1,36814500
-4,96996508;1,36814500
-4,96868508;1,36814500
-4,96740508;1,36814500
-4,96612508;1,36814500
-4,96484508;1,45939500
-4,96356508;1,36814500
-4,96228508;1,36814500
-4,96100508;1,36814500
-4,95972508;1,36814500
-4,95844508;1,45939500
-4,95716508;1,45939500
-4,95588508;1,36814500
-4,95460508;1,36814500
-4,95332508;1,45939500
-4,95204508;1,45939500
-4,95076508;1,36814500
-4,94948508;1,36814500
-4,94820508;1,45939500
-4,94692508;1,36814500
-4,94564508;1,36814500
-4,94436508;1,45939500
-4,94308508;1,45939500
-4,94180508;1,36814500
-4,94052508;1,36814500
-4,93924508;1,36814500
-4,93796508;1,36814500
-4,93668508;1,36814500
-4,93540508;1,36814500
-4,93412508;1,36814500
-4,93284508;1,36814500
-4,93156508;1,45939500
-4,93028508;1,36814500
-4,92900508;1,36814500
-4,92772508;1,36814500
-4,92644508;1,45939500
-4,92516508;1,36814500
-4,92388508;1,45939500
-4,92260508;1,36814500
-4,92132508;1,36814500
-4,92004508;1,45939500
-4,91876508;1,45939500
-4,91748508;1,45939500
-4,91620508;1,45939500
-4,91492508;1,45939500
-4,91364508;1,45939500
-4,91236508;1,36814500
-4,91108508;1,36814500
-4,90980508;1,36814500
-4,90852508;1,36814500
-4,90724508;1,36814500
-4,90596508;1,45939500
-4,90468508;1,36814500
-4,90340508;1,36814500
-4,90212508;1,36814500
-4,90084508;1,45939500
-4,89956508;1,36814500
-4,89828508;1,36814500
-4,89700508;1,36814500
-4,89572508;1,45939500
-4,89444508;1,45939500
-4,89316508;1,45939500
-4,89188508;1,36814500
-4,89060508;1,45939500
-4,88932508;1,36814500
-4,88804508;1,36814500
-4,88676508;1,45939500
-4,88548508;1,36814500
-4,88420508;1,45939500
-4,88292508;1,36814500
-4,88164508;1,36814500
-4,88036508;1,36814500
-4,87908508;1,36814500
-4,87780508;1,45939500
-4,87652508;1,45939500
-4,87524508;1,36814500
-4,87396508;1,36814500
-4,87268508;1,45939500
-4,87140508;1,45939500
-4,87012508;1,36814500
-4,86884508;1,45939500
-4,86756508;1,36814500
-4,86628508;1,45939500
-4,86500508;1,45939500
-4,86372508;1,36814500
-4,86244508;1,36814500
-4,86116508;1,45939500
-4,85988508;1,36814500
-4,85860508;1,36814500
-4,85732508;1,36814500
-4,85604508;1,45939500
-4,85476508;1,36814500
-4,85348508;1,36814500
