Temps;Canal A;Canal B
(ms);(V);(V)

-50,08567497;0,95193330;1,39188800
-50,04471497;0,97030550;1,40995500
-50,00375497;0,98867760;1,42802200
-49,96279497;1,00705000;1,44608900
-49,92183497;1,00705000;1,46415600
-49,88087497;1,02542200;1,46415600
-49,83991497;1,04379400;1,48222300
-49,79895497;1,06216600;1,50022900
-49,75799497;1,06216600;1,51829600
-49,71703497;1,09891000;1,53636300
-49,67607497;1,11728300;1,53636300
-49,63511497;1,11728300;1,55443000
-49,59415497;1,13565500;1,57249700
-49,55319497;1,15402700;1,57249700
-49,51223497;1,17239900;1,59056400
-49,47127498;1,19077100;1,59056400
-49,43031498;1,19077100;1,62669800
-49,38935498;1,20914300;1,62669800
-49,34839498;1,22751500;1,64476500
-49,30743498;1,22751500;1,66277100
-49,26647498;1,26432100;1,66277100
-49,22551498;1,26432100;1,68083700
-49,18455498;1,28269300;1,68083700
-49,14359498;1,30106500;1,69890400
-49,10263498;1,30106500;1,69890400
-49,06167498;1,31943700;1,71697100
-49,02071498;1,33780900;1,71697100
-48,97975498;1,33780900;1,73503800
-48,93879498;1,35618200;1,73503800
-48,89783498;1,35618200;1,75310500
-48,85687498;1,37455400;1,77117200
-48,81591498;1,41129800;1,77117200
-48,77495498;1,41129800;1,77117200
-48,73399498;1,42967000;1,78923900
-48,69303498;1,42967000;1,78923900
-48,65207498;1,44804200;1,78923900
-48,61111498;1,44804200;1,78923900
-48,57015498;1,48478700;1,80730600
-48,52919498;1,48478700;1,80730600
-48,48823498;1,48478700;1,80730600
-48,44727498;1,50315900;1,82531200
-48,40631498;1,50315900;1,82531200
-48,36535498;1,52153100;1,82531200
-48,32439498;1,53990300;1,82531200
-48,28343498;1,53990300;1,84337900
-48,24247498;1,55827500;1,84337900
-48,20151498;1,55827500;1,84337900
-48,16055498;1,57664700;1,84337900
-48,11959498;1,57664700;1,84337900
-48,07863498;1,59501900;1,84337900
-48,03767498;1,59501900;1,84337900
-47,99671498;1,61339200;1,84337900
-47,95575498;1,61339200;1,84337900
-47,91479498;1,63176400;1,84337900
-47,87383498;1,63176400;1,84337900
-47,83287499;1,63176400;1,84337900
-47,79191499;1,65013600;1,84337900
-47,75095499;1,65013600;1,84337900
-47,70999499;1,65013600;1,84337900
-47,66903499;1,65013600;1,84337900
-47,62807499;1,65013600;1,84337900
-47,58711499;1,66850800;1,84337900
-47,54615499;1,66850800;1,82531200
-47,50519499;1,68688000;1,82531200
-47,46423499;1,68688000;1,82531200
-47,42327499;1,70525200;1,80730600
-47,38231499;1,68688000;1,80730600
-47,34135499;1,70525200;1,78923900
-47,30039499;1,70525200;1,80730600
-47,25943499;1,70525200;1,80730600
-47,21847499;1,70525200;1,78923900
-47,17751499;1,70525200;1,78923900
-47,13655499;1,70525200;1,78923900
-47,09559499;1,70525200;1,77117200
-47,05463499;1,70525200;1,77117200
-47,01367499;1,72362400;1,75310500
-46,97271499;1,72362400;1,75310500
-46,93175499;1,70525200;1,75310500
-46,89079499;1,70525200;1,71697100
-46,84983499;1,70525200;1,71697100
-46,80887499;1,70525200;1,71697100
-46,76791499;1,70525200;1,71697100
-46,72695499;1,72362400;1,69890400
-46,68599499;1,70525200;1,68083700
-46,64503499;1,70525200;1,68083700
-46,60407499;1,70525200;1,66277100
-46,56311499;1,70525200;1,64476500
-46,52215499;1,70525200;1,62669800
-46,48119499;1,70525200;1,62669800
-46,44023499;1,68688000;1,62669800
-46,39927499;1,68688000;1,60863100
-46,35831499;1,68688000;1,59056400
-46,31735499;1,68688000;1,57249700
-46,27639499;1,68688000;1,55443000
-46,23543499;1,66850800;1,55443000
-46,19447499;1,66850800;1,53636300
-46,15351500;1,66850800;1,51829600
-46,11255500;1,65013600;1,50022900
-46,07159500;1,65013600;1,50022900
-46,03063500;1,65013600;1,48222300
-45,98967500;1,65013600;1,46415600
-45,94871500;1,63176400;1,44608900
-45,90775500;1,63176400;1,44608900
-45,86679500;1,61339200;1,42802200
-45,82583500;1,61339200;1,40995500
-45,78487500;1,61339200;1,39188800
-45,74391500;1,59501900;1,37382100
-45,70295500;1,59501900;1,35575400
-45,66199500;1,57664700;1,33768700
-45,62103500;1,57664700;1,31968100
-45,58007500;1,55827500;1,30161400
-45,53911500;1,55827500;1,28354800
-45,49815500;1,55827500;1,28354800
-45,45719500;1,52153100;1,26548100
-45,41623500;1,52153100;1,24741400
-45,37527500;1,52153100;1,22934700
-45,33431500;1,50315900;1,21128000
-45,29335500;1,50315900;1,19321300
-45,25239500;1,48478700;1,17514600
-45,21143500;1,48478700;1,15714000
