Temps;Canal B
(ms);(V)

-488,88692260;0,00762963
-488,55924260;0,00762963
-488,23156260;0,00762963
-487,90388260;0,00762963
-487,57620261;0,00762963
-487,24852261;0,00762963
-486,92084261;0,00762963
-486,59316261;0,00762963
-486,26548261;0,00762963
-485,93780262;0,00762963
-485,61012262;0,00762963
-485,28244262;0,00762963
-484,95476262;0,00762963
-484,62708262;0,00762963
-484,29940263;0,00762963
-483,97172263;0,00762963
-483,64404263;0,00762963
-483,31636263;0,00762963
-482,98868263;0,00762963
-482,66100264;0,00762963
-482,33332264;0,00762963
-482,00564264;0,00762963
-481,67796264;0,00762963
-481,35028264;0,00762963
-481,02260265;0,00762963
-480,69492265;0,00762963
-480,36724265;0,00762963
-480,03956265;0,00762963
-479,71188265;0,00762963
-479,38420266;0,00762963
-479,05652266;0,00762963
-478,72884266;0,00762963
-478,40116266;0,00762963
-478,07348266;0,00762963
-477,74580267;-0,03707999
-477,41812267;0,00762963
-477,09044267;-0,03707999
-476,76276267;0,00762963
-476,43508267;0,00762963
-476,10740268;0,00762963
-475,77972268;0,00762963
-475,45204268;0,00762963
-475,12436268;0,00762963
-474,79668268;0,00762963
-474,46900269;0,00762963
-474,14132269;0,00762963
-473,81364269;0,00762963
-473,48596269;0,00762963
-473,15828269;0,00762963
-472,83060270;0,00762963
-472,50292270;0,00762963
-472,17524270;0,00762963
-471,84756270;0,00762963
-471,51988270;0,00762963
-471,19220271;0,00762963
-470,86452271;0,00762963
-470,53684271;0,00762963
-470,20916271;0,00762963
-469,88148271;0,00762963
-469,55380272;0,00762963
-469,22612272;0,00762963
-468,89844272;0,00762963
-468,57076272;0,00762963
-468,24308272;0,00762963
-467,91540273;-0,03707999
-467,58772273;0,00762963
-467,26004273;0,00762963
-466,93236273;0,00762963
-466,60468273;0,00762963
-466,27700274;0,00762963
-465,94932274;0,00762963
-465,62164274;0,00762963
-465,29396274;0,00762963
-464,96628274;0,00762963
-464,63860275;0,00762963
-464,31092275;-0,03707999
-463,98324275;0,00762963
-463,65556275;0,00762963
-463,32788275;-0,03707999
-463,00020276;0,00762963
-462,67252276;0,00762963
-462,34484276;-0,03707999
-462,01716276;0,00762963
-461,68948276;0,00762963
-461,36180277;0,00762963
-461,03412277;0,00762963
-460,70644277;0,00762963
-460,37876277;0,00762963
-460,05108277;0,00762963
-459,72340278;0,00762963
-459,39572278;0,00762963
-459,06804278;0,00762963
-458,74036278;0,00762963
-458,41268278;0,00762963
-458,08500279;0,00762963
-457,75732279;0,00762963
-457,42964279;0,00762963
-457,10196279;0,00762963
-456,77428279;0,00762963
-456,44660280;0,00762963
-456,11892280;0,00762963
-455,79124280;0,00762963
-455,46356280;0,00762963
-455,13588280;0,00762963
-454,80820280;0,00762963
-454,48052281;0,00762963
-454,15284281;0,00762963
-453,82516281;0,00762963
-453,49748281;0,00762963
-453,16980281;0,00762963
-452,84212282;0,00762963
-452,51444282;0,00762963
-452,18676282;0,00762963
-451,85908282;0,00762963
-451,53140282;0,00762963
-451,20372283;0,00762963
-450,87604283;0,00762963
-450,54836283;0,00762963
