Temps;Canal A;Canal B
(ms);(V);(V)

-50,08687079;0,95193330;1,53636300
-50,04591079;0,95193330;1,57249700
-50,00495079;0,98867760;1,57249700
-49,96399079;1,00705000;1,60863100
-49,92303079;1,02542200;1,62669800
-49,88207079;1,04379400;1,64476500
-49,84111079;1,06216600;1,64476500
-49,80015079;1,08053800;1,68083700
-49,75919079;1,11728300;1,68083700
-49,71823079;1,11728300;1,68083700
-49,67727079;1,13565500;1,69890400
-49,63631079;1,17239900;1,69890400
-49,59535079;1,19077100;1,71697100
-49,55439079;1,20914300;1,71697100
-49,51343079;1,20914300;1,71697100
-49,47247079;1,22751500;1,71697100
-49,43151079;1,24588800;1,71697100
-49,39055079;1,26432100;1,69890400
-49,34959079;1,28269300;1,69890400
-49,30863079;1,30106500;1,69890400
-49,26767079;1,30106500;1,68083700
-49,22671079;1,31943700;1,68083700
-49,18575080;1,33780900;1,64476500
-49,14479080;1,33780900;1,62669800
-49,10383080;1,35618200;1,62669800
-49,06287080;1,35618200;1,59056400
-49,02191080;1,35618200;1,57249700
-48,98095080;1,35618200;1,55443000
-48,93999080;1,37455400;1,53636300
-48,89903080;1,39292600;1,50022900
-48,85807080;1,37455400;1,48222300
-48,81711080;1,39292600;1,46415600
-48,77615080;1,39292600;1,42802200
-48,73519080;1,39292600;1,39188800
-48,69423080;1,39292600;1,35575400
-48,65327080;1,39292600;1,31968100
-48,61231080;1,39292600;1,28354800
-48,57135080;1,37455400;1,26548100
-48,53039080;1,37455400;1,21128000
-48,48943080;1,35618200;1,19321300
-48,44847080;1,35618200;1,13907300
-48,40751080;1,35618200;1,12100600
-48,36655080;1,33780900;1,06680500
-48,32559080;1,33780900;1,04873800
-48,28463080;1,31943700;1,01260400
-48,24367080;1,31943700;0,95846430
-48,20271080;1,30106500;0,94039730
-48,16175080;1,28269300;0,88619650
-48,12079080;1,26432100;0,85006250
-48,07983080;1,26432100;0,81398970
-48,03887080;1,24588800;0,77785580
-47,99791080;1,20914300;0,74172190
-47,95695080;1,20914300;0,70558790
-47,91599080;1,19077100;0,68752100
-47,87503080;1,17239900;0,65144810
-47,83407080;1,15402700;0,61531420
-47,79311080;1,13565500;0,57918030
-47,75215080;1,09891000;0,56111330
-47,71119080;1,08053800;0,52497940
-47,67023080;1,06216600;0,48890650
-47,62927080;1,04379400;0,47083960
-47,58831080;1,02542200;0,43470560
-47,54735080;0,98867760;0,41663870
-47,50639081;0,98867760;0,39857170
-47,46543081;0,97030550;0,36243780
-47,42447081;0,93356120;0,34437090
-47,38351081;0,91518910;0,34437090
-47,34255081;0,89681690;0,32636490
-47,30159081;0,87844480;0,30829800
-47,26063081;0,86007260;0,29023100
-47,21967081;0,84170050;0,29023100
-47,17871081;0,82332840;0,27216410
-47,13775081;0,80495620;0,27216410
-47,09679081;0,76821190;0,27216410
-47,05583081;0,76821190;0,27216410
-47,01487081;0,74983980;0,27216410
-46,97391081;0,73146760;0,27216410
-46,93295081;0,71309550;0,27216410
-46,89199081;0,69472340;0,27216410
-46,85103081;0,67635120;0,27216410
-46,81007081;0,67635120;0,27216410
-46,76911081;0,65797910;0,29023100
-46,72815081;0,63960690;0,30829800
-46,68719081;0,63960690;0,32636490
-46,64623081;0,62123480;0,34437090
-46,60527081;0,62123480;0,36243780
-46,56431081;0,60286270;0,38050480
-46,52335081;0,60286270;0,39857170
-46,48239081;0,58449050;0,41663870
-46,44143081;0,58449050;0,43470560
-46,40047081;0,58449050;0,47083960
-46,35951081;0,56611840;0,48890650
-46,31855081;0,56611840;0,52497940
-46,27759081;0,56611840;0,56111330
-46,23663081;0,56611840;0,57918030
-46,19567081;0,56611840;0,61531420
-46,15471081;0,58449050;0,63338110
-46,11375081;0,58449050;0,68752100
-46,07279081;0,58449050;0,70558790
-46,03183081;0,60286270;0,74172190
-45,99087081;0,60286270;0,77785580
-45,94991081;0,60286270;0,81398970
-45,90895081;0,60286270;0,86812950
-45,86799082;0,62123480;0,90426340
-45,82703082;0,62123480;0,92233040
-45,78607082;0,63960690;0,97653130
-45,74511082;0,65797910;0,99453720
-45,70415082;0,67635120;1,04873800
-45,66319082;0,67635120;1,06680500
-45,62223082;0,69472340;1,12100600
-45,58127082;0,71309550;1,15714000
-45,54031082;0,73146760;1,19321300
-45,49935082;0,74983980;1,22934700
-45,45839082;0,76821190;1,26548100
-45,41743082;0,78658410;1,30161400
-45,37647082;0,80495620;1,31968100
-45,33551082;0,82332840;1,35575400
-45,29455082;0,84170050;1,39188800
-45,25359082;0,84170050;1,42802200
-45,21263082;0,87844480;1,46415600
