Temps;Canal A;Canal B;Veb;Vec
(ms);(V);(V);(V);(V)

3,23398529;1,96246200;0,00128178;0,46246220;0,46246220
3,23910529;1,96246200;0,00128178;0,46246220;0,46246220
3,24422529;1,96246200;0,00128178;0,46246220;0,46246220
3,24934529;1,96246200;0,00128178;0,46246220;0,46246220
3,25446529;1,96246200;0,00128178;0,46246220;0,46246220
3,25958529;1,96246200;0,00128178;0,46246220;0,46246220
3,26470529;1,96246200;0,00128178;0,46246220;0,46246220
3,26982529;1,96246200;0,00128178;0,46246220;0,46246220
3,27494529;1,96246200;0,00128178;0,46246220;0,46246220
3,28006529;1,96246200;0,00128178;0,46246220;0,46246220
3,28518529;1,96246200;0,00128178;0,46246220;0,46246220
3,29030529;1,96246200;0,00128178;0,48083440;0,48083440
3,29542529;1,98083400;0,00128178;0,46246220;0,46246220
3,30054529;1,96246200;0,00128178;0,46246220;0,46246220
3,30566529;1,96246200;0,00128178;0,46246220;0,46246220
3,31078529;1,96246200;-0,01672414;0,46246220;0,46246220
3,31590529;1,96246200;0,00128178;0,48083440;0,48083440
3,32102529;1,98083400;0,00128178;0,46246220;0,46246220
3,32614529;1,96246200;0,00128178;0,46246220;0,46246220
3,33126529;1,96246200;0,00128178;0,46246220;0,46246220
3,33638529;1,96246200;0,00128178;0,46246220;0,46246220
3,34150529;1,96246200;0,00128178;0,46246220;0,46246220
3,34662529;1,96246200;0,00128178;0,46246220;0,46246220
3,35174529;1,96246200;0,00128178;0,46246220;0,46246220
3,35686529;1,96246200;0,00128178;0,46246220;0,46246220
3,36198529;1,96246200;0,01928770;0,46246220;0,46246220
3,36710529;1,96246200;0,00128178;0,46246220;0,46246220
3,37222529;1,96246200;0,00128178;0,46246220;0,46246220
3,37734529;1,96246200;0,00128178;0,46246220;0,46246220
3,38246529;1,96246200;0,00128178;0,46246220;0,46246220
3,38758529;1,96246200;0,00128178;0,46246220;0,46246220
3,39270529;1,96246200;0,00128178;0,48083440;0,48083440
3,39782529;1,98083400;0,00128178;0,46246220;0,46246220
3,40294529;1,96246200;0,00128178;0,46246220;0,46246220
3,40806529;1,96246200;0,00128178;0,46246220;0,46246220
3,41318529;1,96246200;0,00128178;0,46246220;0,46246220
3,41830529;1,96246200;0,00128178;0,46246220;0,46246220
3,42342529;1,96246200;0,00128178;0,46246220;0,46246220
3,42854529;1,96246200;0,00128178;0,46246220;0,46246220
3,43366529;1,96246200;0,00128178;0,48083440;0,48083440
3,43878529;1,98083400;0,00128178;0,46246220;0,46246220
3,44390529;1,96246200;0,00128178;0,46246220;0,46246220
3,44902529;1,96246200;0,00128178;0,46246220;0,46246220
3,45414529;1,96246200;-0,01672414;0,46246220;0,46246220
3,45926529;1,96246200;0,00128178;0,46246220;0,46246220
