Temps;Canal A
(ms);(V)

-5,00288978;1,64220100
-5,00160978;1,64220100
-5,00032978;1,64220100
-4,99904978;1,64220100
-4,99776978;1,64220100
-4,99648978;1,64220100
-4,99520978;1,73345100
-4,99392978;1,73345100
-4,99264978;1,73345100
-4,99136978;1,73345100
-4,99008978;1,73345100
-4,98880978;1,73345100
-4,98752978;1,73345100
-4,98624978;1,73345100
-4,98496978;1,73345100
-4,98368978;1,73345100
-4,98240978;1,73345100
-4,98112978;1,82470200
-4,97984978;1,73345100
-4,97856978;1,73345100
-4,97728978;1,82470200
-4,97600978;1,82470200
-4,97472978;1,82470200
-4,97344978;1,82470200
-4,97216978;1,82470200
-4,97088978;1,82470200
-4,96960978;1,91625700
-4,96832978;1,91625700
-4,96704978;1,91625700
-4,96576978;1,91625700
-4,96448978;1,91625700
-4,96320978;1,91625700
-4,96192978;1,91625700
-4,96064978;1,91625700
-4,95936978;1,91625700
-4,95808978;1,91625700
-4,95680978;1,91625700
-4,95552978;1,91625700
-4,95424978;1,91625700
-4,95296978;2,00750800
-4,95168978;1,91625700
-4,95040978;2,00750800
-4,94912978;1,91625700
-4,94784978;2,00750800
-4,94656978;2,00750800
-4,94528978;2,00750800
-4,94400978;2,09875800
-4,94272978;2,00750800
-4,94144978;2,00750800
-4,94016978;2,09875800
-4,93888978;2,09875800
-4,93760978;2,09875800
-4,93632978;2,09875800
-4,93504978;2,09875800
-4,93376978;2,19031300
-4,93248978;2,09875800
-4,93120978;2,09875800
-4,92992978;2,19031300
-4,92864978;2,19031300
-4,92736978;2,19031300
-4,92608978;2,19031300
-4,92480978;2,19031300
-4,92352978;2,28156400
-4,92224978;2,28156400
-4,92096978;2,28156400
-4,91968978;2,28156400
-4,91840978;2,28156400
-4,91712978;2,28156400
-4,91584978;2,28156400
-4,91456978;2,28156400
-4,91328978;2,28156400
-4,91200978;2,28156400
-4,91072978;2,37281400
-4,90944978;2,28156400
-4,90816978;2,28156400
-4,90688978;2,37281400
-4,90560978;2,37281400
-4,90432978;2,37281400
-4,90304978;2,37281400
-4,90176978;2,37281400
-4,90048978;2,37281400
-4,89920978;2,37281400
-4,89792978;2,37281400
-4,89664978;2,46437000
-4,89536978;2,46437000
-4,89408978;2,46437000
-4,89280978;2,46437000
-4,89152978;2,46437000
-4,89024978;2,55562000
-4,88896978;2,46437000
-4,88768978;2,55562000
-4,88640978;2,55562000
-4,88512978;2,55562000
-4,88384978;2,55562000
-4,88256978;2,64687000
-4,88128978;2,64687000
-4,88000978;2,64687000
-4,87872978;2,64687000
-4,87744978;2,64687000
-4,87616978;2,64687000
-4,87488978;2,64687000
-4,87360978;2,64687000
-4,87232978;2,64687000
-4,87104978;2,64687000
-4,86976978;2,64687000
-4,86848978;2,73842600
-4,86720978;2,73842600
-4,86592978;2,73842600
-4,86464978;2,73842600
-4,86336978;2,82967600
-4,86208978;2,82967600
-4,86080978;2,82967600
-4,85952978;2,82967600
-4,85824978;2,82967600
-4,85696978;2,82967600
-4,85568978;2,82967600
-4,85440978;2,92092700
-4,85312978;2,92092700
