Temps;Canal A
(ms);(V)

-5,00249816;1,64220100
-5,00121816;1,64220100
-4,99993816;1,64220100
-4,99865816;1,64220100
-4,99737816;1,64220100
-4,99609816;1,64220100
-4,99481816;1,64220100
-4,99353816;1,64220100
-4,99225816;1,64220100
-4,99097816;1,64220100
-4,98969816;1,73345100
-4,98841816;1,64220100
-4,98713816;1,73345100
-4,98585816;1,73345100
-4,98457816;1,73345100
-4,98329816;1,73345100
-4,98201816;1,73345100
-4,98073816;1,73345100
-4,97945816;1,73345100
-4,97817816;1,73345100
-4,97689816;1,82470200
-4,97561816;1,82470200
-4,97433816;1,82470200
-4,97305816;1,82470200
-4,97177816;1,82470200
-4,97049816;1,82470200
-4,96921816;1,82470200
-4,96793816;1,91625700
-4,96665816;1,82470200
-4,96537816;1,82470200
-4,96409816;1,91625700
-4,96281816;1,91625700
-4,96153816;1,91625700
-4,96025816;1,91625700
-4,95897816;1,91625700
-4,95769816;1,91625700
-4,95641816;1,91625700
-4,95513816;1,91625700
-4,95385816;1,91625700
-4,95257816;1,91625700
-4,95129816;2,00750800
-4,95001816;1,91625700
-4,94873816;1,91625700
-4,94745816;1,91625700
-4,94617816;2,00750800
-4,94489816;2,00750800
-4,94361816;2,00750800
-4,94233816;2,00750800
-4,94105816;2,00750800
-4,93977816;2,09875800
-4,93849816;2,00750800
-4,93721816;2,09875800
-4,93593816;2,00750800
-4,93465816;2,09875800
-4,93337816;2,09875800
-4,93209816;2,09875800
-4,93081816;2,09875800
-4,92953816;2,09875800
-4,92825816;2,09875800
-4,92697816;2,09875800
-4,92569816;2,19031300
-4,92441816;2,19031300
-4,92313816;2,19031300
-4,92185816;2,19031300
-4,92057816;2,19031300
-4,91929816;2,19031300
-4,91801816;2,28156400
-4,91673816;2,19031300
-4,91545816;2,28156400
-4,91417816;2,28156400
-4,91289816;2,28156400
-4,91161816;2,28156400
-4,91033816;2,28156400
-4,90905816;2,28156400
-4,90777816;2,28156400
-4,90649816;2,28156400
-4,90521816;2,28156400
-4,90393816;2,37281400
-4,90265816;2,37281400
-4,90137816;2,37281400
-4,90009816;2,37281400
-4,89881816;2,37281400
-4,89753816;2,37281400
-4,89625816;2,37281400
-4,89497816;2,37281400
-4,89369816;2,37281400
-4,89241816;2,37281400
-4,89113816;2,46437000
-4,88985816;2,46437000
-4,88857816;2,46437000
-4,88729816;2,46437000
-4,88601816;2,46437000
-4,88473816;2,46437000
-4,88345816;2,55562000
-4,88217816;2,55562000
-4,88089816;2,55562000
-4,87961816;2,55562000
-4,87833816;2,55562000
-4,87705816;2,64687000
-4,87577816;2,64687000
-4,87449816;2,64687000
-4,87321816;2,64687000
-4,87193816;2,64687000
-4,87065816;2,64687000
-4,86937816;2,64687000
-4,86809816;2,64687000
-4,86681816;2,64687000
-4,86553816;2,73842600
-4,86425816;2,73842600
-4,86297816;2,73842600
-4,86169816;2,73842600
-4,86041816;2,73842600
-4,85913816;2,73842600
-4,85785816;2,82967600
-4,85657816;2,82967600
-4,85529816;2,82967600
-4,85401816;2,82967600
-4,85273816;2,82967600
