Temps;Canal A;Canal B
(ms);(V);(V)

-50,08754507;1,00705000;0,48890650
-50,04658507;1,00705000;0,47083960
-50,00562507;0,97030550;0,45277260
-49,96466507;0,97030550;0,41663870
-49,92370507;0,93356120;0,41663870
-49,88274507;0,91518910;0,39857170
-49,84178507;0,89681690;0,38050480
-49,80082507;0,89681690;0,36243780
-49,75986507;0,86007260;0,34437090
-49,71890507;0,84170050;0,32636490
-49,67794507;0,82332840;0,32636490
-49,63698507;0,80495620;0,30829800
-49,59602507;0,78658410;0,29023100
-49,55506507;0,76821190;0,27216410
-49,51410507;0,74983980;0,27216410
-49,47314507;0,74983980;0,27216410
-49,43218507;0,73146760;0,25409710
-49,39122507;0,71309550;0,23603010
-49,35026507;0,67635120;0,23603010
-49,30930507;0,67635120;0,23603010
-49,26834507;0,65797910;0,21796320
-49,22738507;0,63960690;0,21796320
-49,18642507;0,62123480;0,21796320
-49,14546507;0,60286270;0,19989620
-49,10450507;0,60286270;0,19989620
-49,06354507;0,60286270;0,19989620
-49,02258507;0,58449050;0,19989620
-48,98162507;0,56611840;0,19989620
-48,94066507;0,54774620;0,21796320
-48,89970507;0,52937410;0,19989620
-48,85874507;0,52937410;0,19989620
-48,81778507;0,51100190;0,21796320
-48,77682508;0,51100190;0,21796320
-48,73586508;0,49262980;0,21796320
-48,69490508;0,47425760;0,23603010
-48,65394508;0,47425760;0,23603010
-48,61298508;0,47425760;0,25409710
-48,57202508;0,45588550;0,25409710
-48,53106508;0,45588550;0,27216410
-48,49010508;0,45588550;0,27216410
-48,44914508;0,45588550;0,29023100
-48,40818508;0,43751340;0,29023100
-48,36722508;0,43751340;0,30829800
-48,32626508;0,43751340;0,32636490
-48,28530508;0,41914120;0,32636490
-48,24434508;0,41914120;0,34437090
-48,20338508;0,43751340;0,38050480
-48,16242508;0,41914120;0,38050480
-48,12146508;0,41914120;0,41663870
-48,08050508;0,41914120;0,41663870
-48,03954508;0,41914120;0,43470560
-47,99858508;0,41914120;0,47083960
-47,95762508;0,41914120;0,48890650
-47,91666508;0,41914120;0,48890650
-47,87570508;0,41914120;0,50691250
-47,83474508;0,43751340;0,54304640
-47,79378508;0,43751340;0,56111330
-47,75282508;0,45588550;0,57918030
-47,71186508;0,45588550;0,61531420
-47,67090508;0,45588550;0,63338110
-47,62994508;0,45588550;0,65144810
-47,58898508;0,45588550;0,66945400
-47,54802508;0,47425760;0,70558790
-47,50706508;0,47425760;0,72365490
-47,46610508;0,49262980;0,74172190
-47,42514508;0,49262980;0,75978880
-47,38418508;0,51100190;0,79592280
-47,34322508;0,51100190;0,83199560
-47,30226508;0,52937410;0,85006250
-47,26130508;0,52937410;0,88619650
-47,22034508;0,54774620;0,90426340
-47,17938508;0,56611840;0,92233040
-47,13842508;0,58449050;0,95846430
-47,09746509;0,60286270;0,97653130
-47,05650509;0,60286270;0,99453720
-47,01554509;0,62123480;1,03067100
-46,97458509;0,62123480;1,06680500
-46,93362509;0,63960690;1,08487200
-46,89266509;0,67635120;1,12100600
-46,85170509;0,67635120;1,13907300
-46,81074509;0,69472340;1,15714000
-46,76978509;0,71309550;1,19321300
-46,72882509;0,73146760;1,21128000
-46,68786509;0,74983980;1,22934700
-46,64690509;0,76821190;1,26548100
-46,60594509;0,78658410;1,28354800
-46,56498509;0,80495620;1,30161400
-46,52402509;0,82332840;1,33768700
-46,48306509;0,84170050;1,35575400
-46,44210509;0,86007260;1,39188800
-46,40114509;0,87844480;1,40995500
-46,36018509;0,89681690;1,42802200
-46,31922509;0,91518910;1,44608900
-46,27826509;0,91518910;1,46415600
-46,23730509;0,95193330;1,50022900
-46,19634509;0,97030550;1,50022900
-46,15538509;0,98867760;1,53636300
-46,11442509;1,00705000;1,55443000
-46,07346509;1,02542200;1,55443000
-46,03250509;1,04379400;1,57249700
-45,99154509;1,06216600;1,59056400
-45,95058509;1,08053800;1,60863100
-45,90962509;1,09891000;1,62669800
-45,86866509;1,11728300;1,64476500
-45,82770509;1,13565500;1,66277100
-45,78674509;1,15402700;1,68083700
-45,74578509;1,17239900;1,69890400
-45,70482509;1,19077100;1,69890400
-45,66386509;1,20914300;1,69890400
-45,62290509;1,20914300;1,71697100
-45,58194509;1,24588800;1,71697100
-45,54098509;1,26432100;1,73503800
-45,50002509;1,28269300;1,75310500
-45,45906510;1,28269300;1,75310500
-45,41810510;1,31943700;1,75310500
-45,37714510;1,31943700;1,75310500
-45,33618510;1,33780900;1,77117200
-45,29522510;1,35618200;1,77117200
-45,25426510;1,35618200;1,77117200
-45,21330510;1,37455400;1,77117200
