Temps;Canal A
(ms);(V)

-5,00311609;2,24021100
-5,00183609;2,24021100
-5,00055609;2,28598900
-4,99927609;2,28598900
-4,99799609;2,28598900
-4,99671609;2,28598900
-4,99543609;2,28598900
-4,99415609;2,28598900
-4,99287609;2,28598900
-4,99159609;2,28598900
-4,99031609;2,28598900
-4,98903609;2,33161400
-4,98775609;2,33161400
-4,98647609;2,33161400
-4,98519609;2,33161400
-4,98391609;2,33161400
-4,98263609;2,33161400
-4,98135609;2,37739200
-4,98007609;2,37739200
-4,97879609;2,33161400
-4,97751609;2,37739200
-4,97623609;2,37739200
-4,97495609;2,42317000
-4,97367609;2,42317000
-4,97239609;2,42317000
-4,97111609;2,42317000
-4,96983609;2,42317000
-4,96855609;2,42317000
-4,96727609;2,42317000
-4,96599609;2,42317000
-4,96471609;2,46879500
-4,96343609;2,42317000
-4,96215609;2,42317000
-4,96087609;2,46879500
-4,95959609;2,46879500
-4,95831609;2,46879500
-4,95703609;2,46879500
-4,95575609;2,46879500
-4,95447609;2,51457300
-4,95319609;2,51457300
-4,95191609;2,51457300
-4,95063609;2,51457300
-4,94935609;2,56019800
-4,94807609;2,51457300
-4,94679609;2,51457300
-4,94551609;2,51457300
-4,94423609;2,56019800
-4,94295609;2,51457300
-4,94167609;2,56019800
-4,94039609;2,56019800
-4,93911609;2,56019800
-4,93783609;2,56019800
-4,93655609;2,60597600
-4,93527609;2,60597600
-4,93399609;2,60597600
-4,93271609;2,60597600
-4,93143609;2,60597600
-4,93015609;2,65175300
-4,92887609;2,60597600
-4,92759609;2,65175300
-4,92631609;2,65175300
-4,92503609;2,65175300
-4,92375609;2,65175300
-4,92247609;2,65175300
-4,92119609;2,65175300
-4,91991609;2,65175300
-4,91863609;2,65175300
-4,91735609;2,65175300
-4,91607609;2,65175300
-4,91479609;2,69737800
-4,91351609;2,69737800
-4,91223609;2,69737800
-4,91095609;2,69737800
-4,90967609;2,69737800
-4,90839609;2,74315600
-4,90711609;2,74315600
-4,90583609;2,74315600
-4,90455609;2,74315600
-4,90327609;2,78893400
-4,90199609;2,78893400
-4,90071609;2,78893400
-4,89943609;2,78893400
-4,89815609;2,78893400
-4,89687609;2,78893400
-4,89559609;2,78893400
-4,89431609;2,78893400
-4,89303609;2,78893400
-4,89175609;2,78893400
-4,89047609;2,83455900
-4,88919609;2,83455900
-4,88791609;2,83455900
-4,88663609;2,78893400
-4,88535609;2,88033700
-4,88407609;2,88033700
-4,88279609;2,88033700
-4,88151609;2,88033700
-4,88023609;2,83455900
-4,87895609;2,88033700
-4,87767609;2,88033700
-4,87639609;2,88033700
-4,87511609;2,88033700
-4,87383609;2,92596200
-4,87255609;2,92596200
-4,87127609;2,92596200
-4,86999609;2,92596200
-4,86871609;2,92596200
-4,86743609;2,97174000
-4,86615609;2,97174000
-4,86487609;2,97174000
-4,86359609;2,97174000
-4,86231609;2,97174000
-4,86103609;2,97174000
-4,85975609;2,97174000
-4,85847609;2,97174000
-4,85719609;3,01751800
-4,85591609;2,97174000
-4,85463609;3,01751800
-4,85335609;2,97174000
