Temps;Canal A;Canal B
(ms);(V);(V)

-50,06804317;0,97030550;1,13907300
-50,02708317;0,98867760;1,13907300
-49,98612317;0,98867760;1,13907300
-49,94516317;0,98867760;1,13907300
-49,90420317;0,98867760;1,13907300
-49,86324317;0,98867760;1,13907300
-49,82228317;1,00705000;1,15714000
-49,78132317;1,00705000;1,15714000
-49,74036317;1,02542200;1,17514600
-49,69940317;1,02542200;1,15714000
-49,65844317;1,04379400;1,17514600
-49,61748318;1,02542200;1,19321300
-49,57652318;1,04379400;1,19321300
-49,53556318;1,04379400;1,19321300
-49,49460318;1,04379400;1,21128000
-49,45364318;1,04379400;1,19321300
-49,41268318;1,06216600;1,21128000
-49,37172318;1,06216600;1,21128000
-49,33076318;1,06216600;1,21128000
-49,28980318;1,06216600;1,21128000
-49,24884318;1,08053800;1,21128000
-49,20788318;1,08053800;1,21128000
-49,16692318;1,08053800;1,22934700
-49,12596318;1,09891000;1,22934700
-49,08500318;1,09891000;1,24741400
-49,04404318;1,09891000;1,24741400
-49,00308318;1,09891000;1,24741400
-48,96212318;1,11728300;1,26548100
-48,92116318;1,11728300;1,26548100
-48,88020318;1,11728300;1,28354800
-48,83924318;1,13565500;1,26548100
-48,79828318;1,11728300;1,28354800
-48,75732318;1,13565500;1,28354800
-48,71636318;1,15402700;1,28354800
-48,67540318;1,15402700;1,28354800
-48,63444318;1,15402700;1,28354800
-48,59348318;1,15402700;1,30161400
-48,55252318;1,15402700;1,30161400
-48,51156318;1,17239900;1,30161400
-48,47060318;1,17239900;1,30161400
-48,42964318;1,19077100;1,31968100
-48,38868318;1,19077100;1,33768700
-48,34772318;1,19077100;1,33768700
-48,30676318;1,19077100;1,33768700
-48,26580318;1,19077100;1,33768700
-48,22484318;1,20914300;1,35575400
-48,18388318;1,20914300;1,33768700
-48,14292318;1,20914300;1,35575400
-48,10196318;1,20914300;1,35575400
-48,06100318;1,20914300;1,35575400
-48,02004318;1,20914300;1,37382100
-47,97908319;1,22751500;1,39188800
-47,93812319;1,24588800;1,37382100
-47,89716319;1,22751500;1,37382100
-47,85620319;1,24588800;1,39188800
-47,81524319;1,24588800;1,39188800
-47,77428319;1,24588800;1,39188800
-47,73332319;1,26432100;1,40995500
-47,69236319;1,26432100;1,40995500
-47,65140319;1,26432100;1,40995500
-47,61044319;1,26432100;1,40995500
-47,56948319;1,28269300;1,42802200
-47,52852319;1,28269300;1,42802200
-47,48756319;1,28269300;1,42802200
-47,44660319;1,30106500;1,42802200
-47,40564319;1,30106500;1,44608900
-47,36468319;1,30106500;1,44608900
-47,32372319;1,30106500;1,44608900
-47,28276319;1,30106500;1,46415600
-47,24180319;1,30106500;1,46415600
-47,20084319;1,31943700;1,46415600
-47,15988319;1,31943700;1,46415600
-47,11892319;1,33780900;1,46415600
-47,07796319;1,33780900;1,48222300
-47,03700319;1,33780900;1,48222300
-46,99604319;1,33780900;1,48222300
-46,95508319;1,35618200;1,48222300
-46,91412319;1,33780900;1,48222300
-46,87316319;1,35618200;1,50022900
-46,83220319;1,35618200;1,50022900
-46,79124319;1,35618200;1,50022900
-46,75028319;1,35618200;1,50022900
-46,70932319;1,35618200;1,50022900
-46,66836319;1,37455400;1,51829600
-46,62740319;1,37455400;1,51829600
-46,58644319;1,39292600;1,51829600
-46,54548319;1,39292600;1,51829600
-46,50452319;1,39292600;1,53636300
-46,46356319;1,39292600;1,53636300
-46,42260319;1,41129800;1,53636300
-46,38164319;1,41129800;1,53636300
-46,34068320;1,41129800;1,53636300
-46,29972320;1,41129800;1,55443000
-46,25876320;1,42967000;1,55443000
-46,21780320;1,42967000;1,55443000
-46,17684320;1,42967000;1,57249700
-46,13588320;1,42967000;1,55443000
-46,09492320;1,44804200;1,57249700
-46,05396320;1,44804200;1,57249700
-46,01300320;1,44804200;1,57249700
-45,97204320;1,44804200;1,57249700
-45,93108320;1,44804200;1,59056400
-45,89012320;1,46641400;1,57249700
-45,84916320;1,46641400;1,59056400
-45,80820320;1,48478700;1,60863100
-45,76724320;1,48478700;1,60863100
-45,72628320;1,48478700;1,60863100
-45,68532320;1,48478700;1,62669800
-45,64436320;1,48478700;1,60863100
-45,60340320;1,48478700;1,62669800
-45,56244320;1,50315900;1,62669800
-45,52148320;1,50315900;1,62669800
-45,48052320;1,50315900;1,62669800
-45,43956320;1,50315900;1,64476500
-45,39860320;1,50315900;1,64476500
-45,35764320;1,52153100;1,64476500
-45,31668320;1,50315900;1,64476500
-45,27572320;1,52153100;1,64476500
-45,23476320;1,52153100;1,66277100
-45,19380320;1,53990300;1,64476500
